"Name of commune" Residents "Change in %" "Population density per km²" "Foreign nationals in %" "0-19 years" "20-64 years" "65 years or over" "Crude marriage rate" "Crude divorce rate" "Crude birth rate" "Crude mortality rate" "Private households" "Size of households in persons" "Total surface area in km2" "Settlement and urban area in %" "Change in ha" "Agricultural area in %" "Change in ha" "Wooded area in %" "Unproductive area in %" "Employed total" "Primary sector" "Secondary sector" "Tertiary sector" "Business establishments total" "Primary sector" "Secondary sector" "Tertiary sector" "Dwelling vacancy rate" "New housing units per 1000 residents" "Social assistance rate" "FDP/PLR 2)" CVP SP SVP EVP/CSP GLP BDP PdA/Sol. GPS "Small right-wing parties"
Kleinandelfingen 2,013 195 -3.5 -4.6 0.6 10.6 23.2 61.6 15.2 10.3 13.2 50.1 32.8 3.8 946 66 377 503 178 28 41 109 3.5 1.07 0.9 9.4 2.0 13.2 37.2 3.7 13.9 10.1 0.1 5.1 3.2 2.1     
Laufen-Uhwiesen 1,558 248 3.1 2.8 0.6 10.1 21.1 58.2 20.8 6.3 12.5 39.4 44.6 3.5 362 62 148 152 88 20 18 50 9.0 0.56 1.2 11.4 3.8 10.8 35.1 2.0 13.0 11.1 0.0 6.0 5.1 1.7     
Marthalen 1,968 139 1.9 1.0 0.5 9.1 21.5 62.9 15.6 14.2 11.8 47.2 39.2 1.8 1,027 112 296 619 196 37 48 111 3.6 0.45 0.8 5.0 2.3 10.5 48.5 4.2 6.5 8.6 0.0 7.6 4.3 2.6     
Oberstammheim 1,130 120 4.8 3.4 0.6 6.7 22.1 61.2 16.7 9.4 8.5 53.7 37.4 0.3 401 100 62 239 106 33 18 55 11.5 0.38 0.2 19.1 1.4 11.2 37.7 3.0 7.3 6.9 0.1 7.7 2.7 2.9     
Ossingen 1,348 103 0.0 1.0 -0.5 6.7 24.3 59.1 16.5 13.1 9.3 56.3 29.3 5.1 484 81 77 326 110 31 19 60 0.0 1.67 1.0 9.3 2.9 10.9 41.4 3.8 8.1 11.1 0.0 6.8 1.2 4.4     
Rheinau 1,345 151 3.3 2.5 -0.3 19.3 19.9 63.1 17.0 8.9 11.6 26.3 54.8 7.3 439 32 51 356 69 3 13 53 2.2 1.30 1.1 7.0 10.3 20.6 29.1 2.2 7.8 5.6 0.0 10.3 3.0 4.0     
"Thalheim an der Thur" 899 139 9.9 9.9 -0.4 10.2 24.1 62.1 13.8 6.4 9.0 65.5 21.4 4.0 242 60 75 107 65 18 7 40 2.2 1.33 1.3 8.6 2.8 8.0 49.3 4.2 9.4 7.4 0.0 6.6 2.4 1.2     
Trüllikon 988 104 -0.5 -1.6 0.1 6.8 19.2 61.4 19.3 9.6 8.7 61.7 29.3 0.3 322 129 100 93 95 39 17 39 4.0 2.09 1.0 5.4 1.5 13.4 43.0 2.6 8.7 13.3 0.3 5.7 3.4 2.6     
Truttikon 464 105 -2.3 -4.0 0.4 5.4 26.3 57.8 15.9 4.4 6.3 64.8 28.4 0.5 89 54 10 25 40 19 5 16 0.0 0.55 0.0 5.8 2.4 12.1 37.9 5.6 10.6 9.2 0.5 4.3 10.7 0.9     
Unterstammheim 867 120 -0.9 -1.3 0.1 8.2 25.4 58.2 16.4 7.3 11.3 51.6 36.5 0.7 398 86 164 148 85 24 18 43 1.2 2.11 0.1 14.8 1.9 12.9 36.3 4.8 13.5 4.5 0.3 6.4 2.6 2.0     
Volken 310 97 0.0 0.0 -0.3 12.6 25.5 61.3 13.2 3.3 5.8 64.8 29.4 0.0 114 41 20 53 28 15 5 8 3.2 0.00 2.0 10.8 2.5 7.4 51.0 6.0 8.7 11.0 0.0 0.7 1.7 0.2     
Waltalingen 675 93 -2.3 -3.3 0.9 6.4 23.3 61.8 15.0 7.3 7.6 62.8 28.8 0.8 241 77 67 97 78 30 18 30 1.5 1.04 1.7 6.4 3.2 8.9 47.8 3.6 10.5 7.1 0.0 7.3 2.1 3.1     
Bachenbülach 4,019 932 3.4 2.1 1.4 24.4 21.7 61.6 16.6 4.3 23.8 34.0 39.2 3.0 1,809 5 510 1,294 250 3 40 207 0.5 0.11 3.4 11.6 4.4 14.1 34.6 4.7 10.9 9.4 0.2 4.9 3.1 2.1     
Bassersdorf 11,243 1,246 1.5 0.0 1.3 23.0 21.5 65.1 13.4 9.0 30.7 37.6 30.9 0.8 3,769 51 789 2,929 559 15 89 455 3.1 0.60 2.2 11.2 5.3 17.4 32.0 3.1 11.5 7.4 0.2 6.2 3.2 2.5     
Bülach 17,975 1,117 2.6 1.3 1.1 24.6 20.5 63.9 15.6 16.1 29.9 30.7 39.1 0.3 10,160 91 2,163 7,906 1,148 26 168 954 8.8 1.72 3.8 9.9 3.9 17.0 34.3 5.6 10.1 5.8 0.1 5.9 4.5 2.9     
Dietlikon 7,170 1,691 1.5 0.1 1.1 22.5 20.1 61.4 18.5 4.2 47.4 21.3 30.6 0.7 5,717 18 1,077 4,622 513 5 77 431 12.3 0.18 3.3 11.7 4.7 19.0 30.7 2.0 11.3 10.3 0.1 5.1 2.6 2.6     
Eglisau 4,709 520 11.7 9.2 1.9 20.8 22.3 63.5 14.2 9.1 17.4 34.1 41.2 7.3 1,226 73 356 797 286 27 38 221 27.2 1.59 2.0 8.8 3.8 17.4 33.9 2.9 12.4 6.0 0.1 7.8 4.6 2.3     
Embrach 8,986 708 1.4 -0.6 1.5 24.8 22.1 64.4 13.5 12.7 20.3 32.7 45.2 1.8 3,447 69 803 2,575 467 22 84 361 0.0 1.66 5.1 9.3 5.5 16.4 39.5 2.9 9.3 6.5 0.0 4.2 4.1 2.3     
